"Sensor Name","Sensor Description","Solution KM Note","Solution for the issue","Issue Summary","Issue Description","Issue Severity","Product to raise SR if help needed","Sr Component","Sr Sub Component","Business Flow","Business Impact","Prod Family","Prod Area"
"JDEDIST_F4105_02","JDE Distribution sensor: Negative Cost in F4105","2828481.1","The first step is to identify what transaction caused the cost to go negative. The following steps can be done to identify and correct the negative cost: 1. Query the item in the P4111 (Cardex) to identify the transaction(s) that potentially caused the cost to go negative. 2. Manually update the cost in the P4105. 3. Perform a Cycle Count or Inventory Adjustment if the total inventory valuation is not correct after making the cost change. 4. Verify the quantity on hand multiplied by the current cost equals the current inventory valuation. For more details, please review the following document: E1: 41: Negative Cost (F4105) Found for Item (Doc ID 2828481.1)","Negative Cost in F4105","Item cost records having negative cost in F4105","2","JD Edwards EnterpriseOne Inventory Management","INVENT",,"JDE Distribution","Incorrect Inventory Valuation","JDE E1 Distribution","JDE E1 Inventory"
"JDEFIN_R03B551_01","JDE Financial sensor: R03B551 takes long time to run","1458442.1","Immediate recognition of cash in the general ledger is an essential part of the accounts receivable process. To ensure early cash recognition, you can process receipts automatically to quickly apply payments from customers to their invoices. The Update Receipts Header (R03B551) UBE is part of this process. If the time to run this process becomes excessive, there are steps you can take to possibly decrease processing time. For more details on how to run the report and correct issues please see E1: 03B: How To Process Automatic Cash Receipts (a.k.a. Auto Receipts or Auto Cash) and Troubleshooting Tips (Doc ID 1458442.1)","R03B551 takes long time to run","R03B551 takes long time to run","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the Update Receipts Header (R03B551) does not exceed the specified threshold runtime which could indicate that there is an underlying problem that impacts performance.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_R03B701_01","JDE Financial sensor: AR to GL by Batch Integrity Report (R03B701) has not been run","2242260.2","The A/R to G/L by Batch integrity report (R03B701) compares the batch amount of the Customer Ledger transactions (F03B11) with the batch amount of the corresponding Account Ledger records (F0911). This integrity test does the following: -Adds all gross amounts (posted) to the Customer Ledger (F03B11) for each batch and accounts for variations based on tax types and tax amounts. -Accumulates all pay items that are posted to the Account Ledger (F0911) table for each batch. -Compares the Customer Ledger (F03B11) amount with the Account Ledger (F0911) amount. The net difference should be zero. -Compares the Customer Ledger amount with the automatic offset amount. The net difference should be zero The A/R to G/L by Batch Integrity report also verifies that the pay status is correct for each Customer Ledger transaction. The report validates the relationship between the pay status and open amount for the following conditions: -The invoice does not have an open amount, but the pay status is not 'P' (paid). -The invoice has an open amount, but the pay status is 'P' (paid). For more details on how to run the report and correct issues please see E1: 03B: How To Run and Research Accounts Receivable Integrity Issues (Doc ID 2242260.2).","AR to GL by Batch Integrity Report (R03B701) hasn't been run","AR to GL by Batch Integrity Report (R03B701) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the AR to GL by Batch (R03B701) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_R03B707_01","JDE Financial sensor: AR to Account Balance by Account ID (R03B707) integrity report has not been run","2242260.2","The Account Balance by Account ID Report (R03B707) is used to ensure that the total amount of open A/R invoices in the Customer Ledger (F03B11) table is equal to the balance in the Account Balance table (F0902) for the associated A/R offset accounts. The report compares posted amounts in the A/R transaction tables to the amounts updated in the corresponding Account Balances table (F0902). The A/R transaction tables that are used by the UBE are: -Customer Ledger (F03B11) -Invoice Revisions (F03B112) -Receipts Header (F03B13) -Receipts Detail (F03B14) The program utilizes several Automatic Accounting Instructions (AAIs) to determine the open balances for the invoices sorting by the G/L Offset field. The program considers the A/R offset accounts (AAI item RC), write-off accounts (AAI item RA), deduction accounts (AAI item RN), discount accounts (AAI item RK), bank accounts (AAI item RB), delinquency fee accounts (AAI items RFC and RFD), and gain/loss accounts (AAI items RG and RL). The system stamps each A/R transaction with the appropriate account ID at the time that each record is created. When this integrity report is run, the program accumulates amounts from the A/R transaction tables by account ID, company, fiscal year, century, G/L period number, and base currency code. The system then prints the total open amount in the A/R tables and the balance in the Account Balance table. If there is a difference, it will print in the difference column of the report. The report will not consider R1 (draft invoices), RU (unapplied receipts), RB (chargeback invoices), and R5 (deduction) records from the Customer Ledger table (F03B11). It will also not consider records that have not been posted, with the exception of unposted voids and revisions residing in the Invoice Revisions (F03B112) table. For more details on how to run the report and correct issues please see E1: 03B: How To Run and Research Accounts Receivable Integrity Issues (Doc ID 2242260.2).","AR to Account Balance by Account ID (R03B707) integrity report hasn't been run","AR to Account Balance by Account ID (R03B707) integrity report hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the AR to Account Balance by Account ID (R03B707) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_R047001A_01","JDE Financial sensor: AP to GL by Offset Account Report (R047001A) integrity report has not been run","1407766.1","The AP to GL by Offset Account Report (R047001A) should be run regularly to identify differences between the posted Open Amounts (RPAAP) from the Accounts Payable Ledger table (F0411) with the balance of the AP trade account in the Account Balances table (F0902). If the amounts are not in balance, the account is printed on the report along with the corresponding amounts and difference amount. For more details on how to run the report and correct such issues, please review the document - E1: 04: How To Run EnterpriseOne Accounts Payable Integrity Reports (R04701, R04702A, R04711, R04712, R047001A, R04713) (Doc ID 1407766.1)","AP to GL by Offset Account Report (R047001A) integrity report hasn't been run","AP to GL by Offset Account Report (R047001A) integrity report hasn't been run","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Verify that the AP to GL by Offset Account (R047001A) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_R04701_01","JDE Financial sensor: Integrity Check of AP to GL Integrity by Batch has not bee run","1407766.1","The AP to GL Integrity by Batch Report (R04701) should be run regularly to identify out of balance voucher batches (Batch Type V). This report verifies that the Gross Amount (RPAG) and the Amount to Distribute (RPATAD) in the Accounts Payable Ledger table (F0411) are in balance with the Amount (GLAA) in the Account Ledger table (F0911) for each batch. If a voucher contains taxes, the UBE recalculates the gross amount based on the tax explanation code and the tax rate area setup. In addition, the report checks the Account Ledger table (F0411) records for an invalid Pay Status (RPPST). If the Open Amount is Zero, the Pay Status should be 'P'. If the Open Amount is not zero, the Pay Status should not be 'P'. Any discrepancies are printed on the report. For more details on how to run the report and correct such issues, please review the document - E1: 04: How To Run EnterpriseOne Accounts Payable Integrity Reports (R04701, R04702A, R04711, R04712, R047001A, R04713) (Doc ID 1407766.1)","Integrity Check of AP to GL Integrity by Batch hasn't bee run","Integrity Check of AP to GL Integrity by Batch hasn't bee run during the last week.","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Verify that the AP Vouchers to GL by Batch (R04701) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_R04702A_01","JDE Financial sensor: Integrity Check of AP Payments to GL by Batch has not been run","1407766.1","The AP Payments to GL by Batch Report (R04702A) should be run regularly to identify out of balance payment batches. The report verifies that the Payment Amount (RNPAAP) in the AP Matching Document Detail table (F0414) is equal to the total Amount (GLAA) in the Account Ledger table (F0911) for each batch. The batch is printed on the report if the payment amount in the AP Matching Document Detail table (F0414) is not in balance with the Account Ledger table (F0911) amounts. For more details on how to run the report and correct such issues, please review the document - E1: 04: How To Run EnterpriseOne Accounts Payable Integrity Reports (R04701, R04702A, R04711, R04712, R047001A, R04713) (Doc ID 1407766.1)","Integrity Check of AP Payments to GL by Batch hasn't been run","Integrity Check of AP Payments to GL by Batch hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Verify that the AP Payments to GL by Batch (R04702A) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_R04711_01","JDE Financial sensor: Integrity Check of AP to GL Integrity with Adjustments has not been run","1407766.1","The AP to GL Integrity with Adjustments Report (R04711) should be run regularly in PROOF mode to compare the Gross Amount (RPAG) and the Amount to Distribute (RPATAD) in the Accounts Payable Ledger table (F0411) to the Amount (GLAA) in the Account Ledger table (F0911) for each batch. The batch is printed on the report if any discrepancies are found. For more details on how to run the report and correct such issues, please review the document - E1: 04: How To Run EnterpriseOne Accounts Payable Integrity Reports (R04701, R04702A, R04711, R04712, R047001A, R04713) (Doc ID 1407766.1)","Integrity Check of AP to GL Integrity with Adjustments hasn't been run","Integrity Check of AP to GL Integrity with Adjustments hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Verify that the AP to GL with Adjustments (R04711) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_R04712_01","JDE Financial sensor: Integrity Check of AP Payments to GL Integrity has not been run","1407766.1","The AP Payments to GL Integrity Report (R04712) should be run regularly in PROOF mode to compare the Payment Amount (RNPAAP) in the AP Matching Document Detail table (F0414) to the total Amount (GLAA) in the Account Ledger table (F0911) for each batch. The batch is printed on the report if any discrepancies are found. For more details on how to run the report and correct such issues, please review the document - E1: 04: How To Run EnterpriseOne Accounts Payable Integrity Reports (R04701, R04702A, R04711, R04712, R047001A, R04713) (Doc ID 1407766.1)","Integrity Check of AP Payments to GL Integrity fasn't been run","AP Payments to GL Integrity Report (R04712) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Verify that the AP Payments to GL (R04712) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_R04713_01","JDE Financial sensor: Integrity Check of AP Payments to Voucher Integrity has not been run","1407766.1","The AP Payments to Voucher Integrity Report (R04713) should be run regularly in PROOF mode to compare the Gross Amount (RPAG) and the Open Amount (RPAAP) in the Accounts Payable Ledger (F0411) to the Paid Amount (RNPAAP) in the Accounts Payable Matching Document Detail (F0414) for each voucher batch. The batch is printed on the report if any discrepancies are found. For more details on how to run the report and correct such issues, please review the document - E1: 04: How To Run EnterpriseOne Accounts Payable Integrity Reports (R04701, R04702A, R04711, R04712, R047001A, R04713) (Doc ID 1407766.1)","Integrity Check of AP Payments to Voucher Integrity hasn't been run","AP Payments to Voucher Integrity Report (R04713) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Verify that the AP Payments to Voucher (R04713) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_R097001_01","JDE Financial sensor: Integrity Check of Companies in Balance has not been run","664778.1","The Companies in Balance Integrity Report (R097001) should be run regularly to identify and correct company level integrity issues. It prints net differences by company and fiscal year and identifies: - adjustments posted to a prior year that are not included in the balance forward amounts for an account. - amounts posted after the period cutoff. - missing intercompany settlements. For more details on how to run the report and correct such issues please see E1: 09: Overview of Companies in Balance Integrity Report (R097001) (Doc ID 664778.1)","Integrity Check of Companies in Balance hasn't been run","Companies in Balance (R097001) hasn't been run during the last week.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Companies in Balance (R097001) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEDIST_F4141Z1_01","JDE Distribution sensor: Impact of Inbound Interoperability table size on Performance processing ","2829748.1","After the Cycle Count has been processed, the Interoperability table can be purged by using the Inbound Cycle Count Purge (R4141Z1P). Go to Batch Versions (BV) and run R4141Z1P for successfully processed records (EDSP='Y' or EDSP='1'). For more details, please review the document - E1: 41: Processed Records Have Not Been Deleted From the F4141 Cycle Count Unedited Transaction Table (F4141Z1) Allowing the Table to Grow Too Large (Doc ID 2829748.1)","Impact of Inbound Interoperability table size on Performance processing","There are a lot of records in F4141Z1 being successfully processed","3","JD Edwards EnterpriseOne Inventory Foundation","INVENT",,"JDE Distribution","When Interoperabily tables are large then performance issues appear","JDE E1 Distribution","JDE E1 Inventory"
"JDEFIN_R097011_01","JDE Financial sensor: Integrity Check of Intercompany Accounts in Balance has not been run","1383141.1","The Intercompany Accounts in Balance Integrity Report (R097011) should be run periodically to make sure the various intercompany settlement accounts balances net to zero. For more details on how to run the report and correct such issues please see E1: 09: Overview of Intercompany Accounts in Balance Integrity Report (R097011) (Doc ID 1383141.1).","Integrity Check of Intercompany Accounts in Balance hasn't been run","Intercompany Accounts in Balance (R097011) hasn't been run during the last week.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Intercompany Accounts in Balance (R097011) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R097021_01","JDE Financial sensor: Integrity Check of Transactions without Account Master has not been run","664718.1","The Transactions without Account Master report (R097021) should be run periodically to make sure the changes in the chart of accounts are also reflected in the General Ledger. The report does the following: - when run in proof mode it compares Account Ledger (F0911) records to Account Master (F0901) records and verifies that for each record in the F0911 table, an account master number or valid company number exists in the F0901 table. If the account master information or company number does not exist in the F0901 table or even differs, the report prints every account transaction from the F0911 table. - when run in update mode, the system updates the company number in the F0911 table with the company number in the F0901 table. For more details on how to run the report and correct such issues please see the R097021 paragraphs and questions from E1: 09: How To Change the Company Number for a Business Unit In EnterpriseOne (R097041/R097031/R097021) (Doc ID 664718.1).","Integrity Check of Transactions without Account Master hasn't been run","Transactions without Account Master (R097021) hasn't been run during the last week.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Transactions without Account Master (R097021) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R097031_01","JDE Financial sensor: Integrity Check of Account Balance without Account Master has not been run","664718.1","The Account Balance without Account Master report (R097031) should be run periodically to ensure changes in the Chart of Accounts (F0901) are reflected in the Account Balance (F0902) table. The report does the following: - when run in proof mode the report compares Account Balance (F0902) records to Account Master (F0901) records and verifies that an account master number or a valid company number exists for each transaction in the F0902 table. If the account master or company number does not exist or even differs, the report prints the account balance information. - when run in update mode, the system updates the company number in the F0902 table with the company number in the F0901 table. For more details on how to run the report and correct such issues please see the R097031 paragraphs and questions from E1: 09: How To Change the Company Number for a Business Unit In EnterpriseOne (R097041/R097031/R097021) (Doc ID 664718.1).","Integrity Check of Account Balance without Account Master hasn't been run","Account Balance without Account Master (R097031) hasn't been run during the last month.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Account Balance without Account Master (R097031) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R097041_01","JDE Financial sensor: Integrity Check of Accounts without Business Units has not been run","664718.1","The Accounts without Business Units report (R097041) should be run periodicallt to ensure that the accounts in the Chart of Accounts (F0901) have valid Business Units and Level of Detail The report does the following: - verifies that a business unit and valid company number exist for each record in the F0901 table. The report compares the F0901 table to the Business Unit Master (F0006) and lists any discrepancies in which the Account Master records in the F0901 table do not have corresponding business units in the F0006 table. - identifies accounts that have blank or missing Level of Detail. - when run in update mode, the report also updates the company number in the F0901 table with the company number in the F0006 table. For more details on how to run the report and correct such issues please see the R097041 paragraphs and questions from E1: 09: How To Change the Company Number for a Business Unit In EnterpriseOne (R097041/R097031/R097021) (Doc ID 664718.1).","Integrity Check of Accounts without Business Units hasn't been run","Accounts without Business Units (R097041) hasn't been run during the last month","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Accounts without Business Units (R097041) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R09705_01","JDE Financial sensor: Integrity Check of Account Balance to Transactions has not been run","1383948.1","Account Balance to Transaction Integrity Report (R09705) should be run periodically to ensure that the Account Balance (F0902) amounts are in sync with the General Ledger (F0911) transactions. The report verifies the amounts against the total of all posted transactions in the F0911 table, and prints any out-of-balance conditions by period. It summarizes F0911 totals by ledger type, account number, century, fiscal year and period number. It reads the F0902 first and if an F0902 record exists, it compares the balance to the total of the corresponding posted F0911 transactions. This report also identifies Account Balance (F0902) amounts that do not have supporting Account Ledger (F0911) detail. If no F0902 record exists for an account, the program will not check the F0911 for that account. For more details on how to run the report and correct such issues please see E1: 09: Overview of Account Balance to Transaction Integrity Report (R09705) (Doc ID 1383948.1).","Integrity Check of Account Balance to Transactions hasn't been run","Account Balance to Transactions (R09705) hasn't been run during the last week.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Account Balance to Transactions (R09705) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R09706_01","JDE Financial sensor: Integrity Check of Company by Batch Out of Balance has not been run","1383141.1","The Company by Batch Out of Balance integrity report (R09706) should be run periodically to identify and correct out-of-balance amounts within each batch by company. The report totals all posted transactions in the F0911 table by batch and company. It prints all batches and companies that are out of balance and includes: - the amount by which the batch is out of balance. - the company numbers that have out-of-balance batches and the portion of the total discrepancy for each company. For more details on how to run the report and correct such issues please see E1: 09: Overview of Intercompany Accounts in Balance Integrity Report (R097011) (Doc ID 1383141.1).","Integrity Check of Company by Batch Out of Balance hasn't been run","Company by Batch Out of Balance (R09706) hasn't been run during the last week.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Company by Batch Out of Balance (R09706) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R099102_01","JDE Financial sensor: Integrity Check for Repost Account Ledger has not been run","1387474.1","The Repost Account Ledger Integrity Report (R099102) should be run periodically to ensure posted transactions in Account Ledger (F0911) are in sync with teh Account Balance (F0902) amounts. The reports does the following: - assists in locating out-of-balance conditions in the system by identifying imbalances between the Account Ledger F0911 and Account Balance F0902 tables on a period-by-period basis. - when run in final mode it updates Account Balances (F0902) with the posted amounts from Account Ledger (F0911) table. For more details on how to run the report and correct such issues please see E1: 09: Overview Of Repost Account Ledger Integrity Report (R099102) (Doc ID 1387474.1).","Integrity Check for Repost Account Ledger hasn't been run","Integrity Check for Repost Account Ledger (R099102) hasn't been run during the last week.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Repost Account Ledger (R099102) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R8903B13I_01","JDE Financial sensor: Integrity Check of F03B14 to F03B13 Integrity has not been run","2242260.2","The F03B14 to F03B13 Integrity (R8903B13I) UBE compares records in the Receipts Detail (F03B14) table to the Receipts Header (F03B13) table and prints differences on the report. The report can be run in proof or final mode: In proof mode, this report acts as an integrity report by comparing records in the F03B14 table with the F03B13 table and prints differences on a report. In final mode, the UBE creates adjusting entries. It is NOT recommended that you run this report in final mode unless you are running a currency conversion. For more details on how to run the report and correct issues please see E1: 03B: How To Run and Research Accounts Receivable Integrity Issues (Doc ID 2242260.2).","Integrity Check of F03B14 to F03B13 Integrity hasn't been run","F03B14 to F03B13 Integrity Check (R8903B13I) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the F03B14 to F03B13 (R8903B13I) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
